Employee ID,Department,Team,Location,Hire Date,Termination Date,Termination Type
1001,Operations,Biz Ops,USA,2/1/2019,,
1002,Operations,Biz Ops,USA,2/15/2019,,
1003,Operations,Compliance,USA,2/15/2019,,
1004,Operations,Compliance,USA,5/2/2019,,
1005,Operations,Talent Acquisition,USA,3/18/2019,,
1006,Operations,Finance,USA,4/14/2019,11/15/2019,Resignation (Voluntary)
1007,Operations,Finance,USA,4/4/2022,,
1008,Operations,Finance,USA,1/10/2022,,
1009,Operations,Compliance,USA,11/1/2021,,
1010,Operations,Talent Acquisition,USA,4/5/2021,,
1011,Operations,Compliance,USA,6/7/2021,9/2/2021,Termination (Involuntary)
1012,Operations,Biz Ops,USA,4/6/2020,11/9/2021,Resignation (Voluntary)
1013,Operations,Talent Acquisition,USA,11/29/2021,,
1014,Operations,Talent Acquisition,USA,3/1/2021,,
1015,Operations,Compliance,USA,6/1/2019,,
1016,Operations,Talent Acquisition,USA,7/1/2019,,
1017,Operations,Finance,USA,5/4/2020,,
1018,Operations,Compliance,USA,5/10/2020,,
1019,Operations,Finance,USA,7/1/2020,,
1020,Operations,Biz Ops,USA,3/1/2021,,
1021,Operations,Compliance,USA,3/1/2021,,
1022,Operations,Talent Acquisition,USA,10/26/2021,,
1023,Operations,Compliance,USA,1/10/2022,,
1024,Operations,Talent Acquisition,USA,2/1/2022,,
2001,Sales,Sales,USA,11/1/2021,,
2002,Sales,Sales,USA,11/1/2021,,
2003,Sales,Sales,Germany,8/16/2020,,
2004,Sales,Sales,Spain,3/18/2019,11/11/2021,Resignation (Voluntary)
2005,Sales,Sales,USA,11/29/2021,,
2006,Sales,Sales,Germany,4/4/2022,,
2007,Sales,Sales,USA,1/10/2022,,
2008,Sales,Sales,USA,11/1/2021,,
2009,Sales,Sales,USA,4/5/2021,,
2010,Sales,Sales,USA,6/7/2021,,
2011,Sales,Sales,USA,4/6/2020,,
2012,Sales,Sales,USA,11/29/2021,,
2013,Sales,Sales,USA,3/1/2021,,
2014,Sales,Sales,Spain,8/30/2021,,
2015,Sales,Sales,Spain,11/1/2021,,
2016,Sales,Sales,Germany,8/16/2021,,
2017,Sales,Sales,USA,11/1/2021,,
2018,Sales,Sales,USA,11/1/2021,,
2019,Sales,Sales,USA,4/5/2021,,
2020,Sales,Sales,USA,11/1/2021,,
2021,Sales,Sales,USA,11/1/2021,,
2022,Sales,Sales,USA,3/1/2021,,
3001,Marketing,Customer Marketing,USA,1/17/2020,1/15/2022,Resignation (Voluntary)
3002,Marketing,Leap,USA,11/1/2021,,
3003,Marketing,Customer Marketing,USA,10/13/2021,,
3004,Marketing,Leap,USA,8/16/2021,,
3005,Marketing,Customer Marketing,USA,8/30/2021,,
3006,Marketing,Unknown,USA,11/1/2021,,
3007,Marketing,Customer Marketing,USA,10/26/2021,,
3008,Marketing,Customer Marketing,USA,11/1/2021,,
3009,Marketing,Customer Marketing,USA,3/1/2021,,
3010,Marketing,Customer Marketing,USA,11/1/2021,,
3011,Marketing,Unknown,USA,4/5/2021,,
3012,Marketing,Leap,USA,11/29/2021,,
3013,Marketing,Customer Marketing,USA,11/29/2021,,
3014,Marketing,Customer Marketing,USA,9/13/2021,,
3015,Marketing,Leap,USA,9/13/2021,,
4001,Product & Engineering,Business Enablement,USA,6/7/2021,,
4002,Product & Engineering,Data Engineering,USA,1/10/2022,,
4003,Product & Engineering,Foundations,USA,11/1/2021,,
4004,Product & Engineering,Supply Chain,USA,6/7/2021,,
4005,Product & Engineering,Data Engineering,USA,11/1/2021,,
4006,Product & Engineering,Data Engineering,Romania,10/26/2021,,
4007,Product & Engineering,SRE,USA,4/5/2021,,
4008,Product & Engineering,Monetization Platform,USA,3/1/2021,,
